codigo_imovel;cidade;bairro;tipo_imovel;mobilia;aceita_pet;area_m2;quartos;banheiros;vagas_garagem;andar;idade_anos;distancia_centro_km;condominio_mensal_brl;iptu_anual_brl;aluguel_mensal_brl;area_ft2;area_minmax;area_zscore;faixa_aluguel;mobilia_mobiliado;mobilia_sem_mobilia;mobilia_semi_mobiliado
IMV-0038;Maceio;Gruta;kitnet;mobiliado;nao;18.4;1;1;1;11;22.0;6.0;195.79;531.6;2410.0;198.05575999999996;0.0015402387370042302;-1.4388957480730018;medio;1;0;0
IMV-0039;Maceio;Cruz das Almas;apartamento;sem_mobilia;nao;118.4;4;3;1;14;10.0;8.2;832.09;1872.28;5160.0;1274.44576;0.38659992298806317;0.6090036403195501;alto;0;1;0
IMV-0040;Maceio;Cruz das Almas;apartamento;sem_mobilia;nao;87.8;3;2;0;10;17.0;5.5;640.28;2288.14;4350.0;945.0704199999999;0.26877165960723914;-0.017653572528570857;alto;0;1;0
IMV-0041;Maceio;Tabuleiro;apartamento;sem_mobilia;nao;83.5;3;3;1;10;11.0;10.3;748.47;1861.7;3590.0;898.7856499999999;0.2522140931844436;-0.10571324622945051;medio;0;1;0
IMV-0043;Maceio;Gruta;casa;sem_mobilia;sim;199.7;6;4;2;0;37.0;5.5;0.0;3817.4;6690.0;2149.5508299999997;0.699653446284174;2.273945843082694;alto;0;1;0
IMV-0044;Maceio;Serraria;apartamento;semi_mobiliado;nao;89.5;3;3;0;11;31.0;9.2;624.52;1762.88;3380.0;963.36905;0.27531767423950715;0.017160717074102577;medio;0;0;1
IMV-0045;Maceio;Ponta Verde;apartamento;mobiliado;sim;97.3;3;3;1;7;25.0;4.0;751.53;2604.83;6500.0;1047.32747;0.3053523296110897;0.17689686936872154;alto;1;0;0
IMV-0046;Maceio;Cruz das Almas;casa;sem_mobilia;nao;154.3;5;5;3;0;35.0;7.2;0.0;3339.77;6480.0;1660.86977;0.5248363496341933;1.3441995207524762;alto;0;1;0
IMV-0047;Maceio;Serraria;apartamento;sem_mobilia;nao;92.2;3;3;1;13;5.0;10.4;536.44;2432.66;3820.0;992.4315799999999;0.28571428571428575;0.07245400056070153;medio;0;1;0
IMV-0048;Maceio;Farol;apartamento;mobiliado;sim;107.2;4;4;1;2;9.0;3.7;574.17;1933.61;5380.0;1153.89008;0.3434732383519446;0.3796389088195843;alto;1;0;0
IMV-0049;Maceio;Jatiuca;apartamento;sem_mobilia;sim;75.5;3;3;1;6;35.0;2.8;427.4;1698.09;4610.0;812.67445;0.22140931844435888;-0.26954519730085463;alto;0;1;0
IMV-0050;Maceio;Mangabeiras;studio;semi_mobiliado;sim;40.4;1;1;0;12;29.0;3.8;306.08;1390.21;3090.0;434.86155999999994;0.0862533692722372;-0.9883578826266403;medio;0;0;1
IMV-0051;Maceio;Tabuleiro;kitnet;sem_mobilia;sim;26.5;1;2;0;4;26.0;11.1;274.19;403.24;2140.0;285.24334999999996;0.03273007316134001;-1.2730158976132049;medio;0;1;0
IMV-0052;Maceio;Serraria;apartamento;mobiliado;nao;78.3;4;3;1;15;4.0;8.9;733.28;1595.69;4400.0;842.81337;0.23219098960338852;-0.21220401442586326;alto;1;0;0
IMV-0053;Maceio;Tabuleiro;kitnet;sem_mobilia;nao;32.9;1;1;1;14;1.0;12.4;234.26;464.81;1210.0;354.13230999999996;0.05737389295340777;-1.1419503367560817;baixo;0;1;0
IMV-0054;Maceio;Cruz das Almas;casa;sem_mobilia;sim;190.3;5;4;3;0;8.0;7.1;0.0;3905.1;7280.0;2048.37017;0.6634578359645745;2.081443300573795;alto;0;1;0
IMV-0055;Maceio;Jatiuca;casa;mobiliado;sim;163.5;4;4;3;0;1.0;3.8;0.0;3742.61;7930.0;1759.8976499999999;0.5602618405852907;1.5326062644845908;alto;1;0;0
IMV-0056;Maceio;Jatiuca;casa;semi_mobiliado;nao;186.2;5;4;2;0;29.0;1.7;260.0;2000.94;7550.0;2004.2381799999998;0.6476703889102811;1.9974794256496997;alto;0;0;1
IMV-0057;Maceio;Tabuleiro;apartamento;sem_mobilia;nao;87.4;3;3;2;15;16.0;10.1;730.25;1559.39;3280.0;940.76486;0.26723142087023494;-0.02584517008214089;medio;0;1;0
IMV-0058;Maceio;Gruta;apartamento;mobiliado;sim;54.3;2;2;1;3;36.0;4.4;374.2;1517.15;3090.0;584.4797699999999;0.13977666538313438;-0.7036998676400756;medio;1;0;0
IMV-0059;Maceio;Farol;studio;semi_mobiliado;sim;18.0;1;2;0;7;5.0;1.0;427.4;816.52;2260.0;193.7502;0.0;-1.4470873456265718;medio;0;0;1
IMV-0060;Maceio;Tabuleiro;cobertura;semi_mobiliado;sim;168.6;5;5;2;17;27.0;12.0;1529.44;3048.58;7060.0;1814.79354;0.5798998844820947;1.6370491332926107;alto;0;0;1
IMV-0061;Maceio;Cruz das Almas;apartamento;mobiliado;nao;52.2;2;2;1;13;16.0;8.2;430.93;2019.02;3670.0;561.87558;0.13169041201386217;-0.7467057547963191;medio;1;0;0
IMV-0062;Maceio;Tabuleiro;casa;mobiliado;sim;82.95;3;2;0;0;22.0;10.9;0.0;1465.4;2510.0;892.865505;0.2500962649210628;-0.1169766928656095;medio;1;0;0
IMV-0063;Maceio;Tabuleiro;kitnet;semi_mobiliado;sim;32.2;1;1;1;12;8.0;9.3;343.22;607.14;1450.0;346.59758;0.05467847516365038;-1.1562856324748294;baixo;0;0;1
IMV-0064;Maceio;Jatiuca;apartamento;mobiliado;sim;87.9;3;3;0;5;37.0;4.6;616.92;2407.46;5260.0;946.1468100000001;0.2691567192914902;-0.015605673140178132;alto;1;0;0
IMV-0065;Maceio;Serraria;apartamento;sem_mobilia;nao;65.9;3;3;1;8;17.0;7.7;442.89;1067.18;3170.0;709.34101;0.18444358875625724;-0.4661435385865395;medio;0;1;0
IMV-0066;Maceio;Ponta Verde;apartamento;mobiliado;sim;18.0;3;2;0;2;33.0;3.0;212.94;1535.61;4380.0;193.7502;0.0;-1.4470873456265718;alto;1;0;0
IMV-0067;Maceio;Jatiuca;studio;mobiliado;nao;30.9;1;1;1;9;7.0;5.5;274.63;744.49;3870.0;332.60450999999995;0.0496726992683866;-1.1829083245239327;medio;1;0;0
IMV-0068;Maceio;Tabuleiro;apartamento;semi_mobiliado;nao;36.1;3;3;0;2;23.0;9.0;423.87;873.12;2750.0;388.57679;0.06969580284944167;-1.07641755632752;medio;0;0;1
IMV-0069;Maceio;Ponta Verde;casa;sem_mobilia;sim;170.7;6;5;2;0;39.0;3.8;0.0;3615.96;7260.0;1837.39773;0.587986137851367;1.6800550204488542;alto;0;1;0
IMV-0070;Maceio;Gruta;casa;sem_mobilia;sim;117.6;5;5;1;0;29.0;6.3;180.0;2781.76;4390.0;1265.8346399999998;0.38351944551405465;0.5926204452124094;alto;0;1;0
IMV-0071;Maceio;Jatiuca;casa;sem_mobilia;sim;177.2;5;5;2;0;25.0;4.3;260.0;3995.17;7070.0;1907.3630799999999;0.6130150173276858;1.8131684806943702;alto;0;1;0
IMV-0072;Maceio;Mangabeiras;casa;sem_mobilia;nao;29.5;2;2;0;0;34.0;5.0;350.0;2000.94;2930.0;317.53505;0.04428186368887178;-1.2115789159614283;medio;0;1;0
IMV-0073;Maceio;Ponta Verde;kitnet;mobiliado;nao;18.0;1;1;0;5;22.0;2.7;162.04;1351.63;3110.0;193.7502;0.0;-1.4470873456265718;medio;1;0;0
IMV-0074;Maceio;Cruz das Almas;cobertura;sem_mobilia;nao;212.4;5;5;3;11;16.0;6.2;1705.12;4469.67;8900.0;2286.25236;0.7485560261840586;2.5340290654085487;alto;0;1;0
IMV-0075;Maceio;Ponta Verde;apartamento;sem_mobilia;nao;89.7;3;3;1;3;12.0;3.9;556.39;2493.83;5610.0;965.52183;0.2760877936080093;0.02125651585088774;alto;0;1;0
IMV-0076;Maceio;Cruz das Almas;kitnet;semi_mobiliado;nao;21.6;1;1;0;10;18.0;10.1;227.04;1026.31;2450.0;232.50024000000002;0.013862148633038127;-1.3733629676444399;medio;0;0;1
IMV-0077;Maceio;Mangabeiras;kitnet;semi_mobiliado;nao;20.5;1;1;1;7;34.0;5.3;171.12;1426.62;2330.0;220.65994999999998;0.009626492106276474;-1.395889860916758;medio;0;0;1
IMV-0078;Maceio;Jatiuca;apartamento;mobiliado;nao;83.7;3;4;1;8;21.0;2.7;712.65;1974.68;6100.0;900.93843;0.25298421255294573;-0.10161744745266536;alto;1;0;0
IMV-0079;Maceio;Jatiuca;apartamento;mobiliado;nao;70.1;3;3;1;3;2.0;3.0;540.45;2287.98;5160.0;754.5493899999999;0.2006160954948017;-0.38013176427405254;alto;1;0;0
IMV-0080;Maceio;Mangabeiras;casa;semi_mobiliado;sim;98.6;4;4;1;0;24.0;5.0;350.0;2000.94;5500.0;1061.32054;0.31035810550635345;0.20351956141782465;alto;0;0;1
IMV-0081;Maceio;Jatiuca;apartamento;mobiliado;sim;55.9;4;3;1;8;8.0;4.0;382.32;1920.54;5470.0;601.70201;0.14593762033115132;-0.6709334774257948;alto;1;0;0
IMV-0082;Maceio;Gruta;casa;sem_mobilia;sim;152.1;6;4;2;0;4.0;5.0;260.0;2434.56;6390.0;1637.1891899999998;0.51636503658067;1.2991457342078399;alto;0;1;0
IMV-0083;Maceio;Gruta;casa;sem_mobilia;sim;160.8;5;4;1;0;29.0;5.8;427.4;3362.7;5420.0;1730.83512;0.5498652291105122;1.4773129809979921;alto;0;1;0
IMV-0084;Maceio;Jatiuca;casa;mobiliado;sim;172.8;5;4;3;0;18.0;3.7;350.0;4050.51;7830.0;1860.0019200000002;0.5960723912206393;1.7230609076050982;alto;1;0;0
IMV-0085;Maceio;Mangabeiras;casa;sem_mobilia;sim;170.6;5;5;2;0;14.0;5.7;350.0;3284.96;6670.0;1836.32134;0.5876010781671159;1.678007121060462;alto;0;1;0
IMV-0086;Maceio;Gruta;studio;mobiliado;nao;28.9;1;1;1;10;18.0;5.2;269.56;920.71;3030.0;311.07671;0.04197150558336542;-1.2238663122917837;medio;1;0;0
IMV-0087;Maceio;Ponta Verde;apartamento;mobiliado;sim;66.1;3;3;2;5;11.0;3.5;399.98;2577.24;5870.0;711.4937899999999;0.18521370812475932;-0.4620477398097546;alto;1;0;0
IMV-0088;Maceio;Tabuleiro;cobertura;semi_mobiliado;nao;243.4;5;5;3;13;30.0;8.8;1780.15;4250.47;9480.0;2619.93326;0.8679245283018868;3.168877875810239;alto;0;0;1
IMV-0089;Maceio;Ponta Verde;casa;sem_mobilia;sim;82.8;4;3;1;0;38.0;4.0;0.0;2693.18;4830.0;891.25092;0.24951867539468617;-0.12004854194819843;alto;0;1;0
IMV-0090;Maceio;Mangabeiras;apartamento;mobiliado;sim;83.0;3;3;1;13;7.0;6.6;605.71;2664.96;9200.0;893.4037;0.2502887947631883;-0.11595274317141327;alto;1;0;0
IMV-0091;Maceio;Mangabeiras;kitnet;sem_mobilia;nao;29.0;1;1;0;3;10.0;5.3;322.52;1093.1;2030.0;312.1531;0.04235656526761648;-1.221818412903391;medio;0;1;0
IMV-0092;Maceio;Serraria;casa;semi_mobiliado;sim;99.2;5;4;1;0;20.0;9.1;180.0;1796.91;4340.0;1067.77888;0.31266846361185985;0.21580695774818015;alto;0;0;1
IMV-0093;Maceio;Farol;casa;sem_mobilia;nao;131.0;3;3;1;0;3.0;1.9;350.0;2724.26;5390.0;1410.0709;0.4351174432036966;0.8670389632570115;alto;0;1;0
IMV-0094;Maceio;Gruta;studio;semi_mobiliado;sim;44.2;1;1;0;3;28.0;6.7;371.82;994.71;2540.0;475.76438;0.10088563727377745;-0.9105377058677232;medio;0;0;1
IMV-0095;Maceio;Tabuleiro;casa;sem_mobilia;sim;82.95;5;5;1;0;36.0;12.1;0.0;3972.25;5820.0;892.865505;0.2500962649210628;-0.1169766928656095;alto;0;1;0
IMV-0096;Maceio;Ponta Verde;apartamento;sem_mobilia;sim;65.5;3;2;1;7;30.0;3.4;488.05;2179.97;4460.0;705.03545;0.18290335001925298;-0.4743351361401098;alto;0;1;0
IMV-0097;Maceio;Gruta;apartamento;mobiliado;nao;66.9;3;3;1;4;22.0;5.6;515.06;1316.84;3800.0;720.10491;0.18829418559876784;-0.44566454470261396;medio;1;0;0
IMV-0098;Maceio;Ponta Verde;kitnet;mobiliado;sim;28.5;1;1;0;15;6.0;4.6;241.64;1532.14;3100.0;306.77115;0.04043126684636119;-1.232057909845354;medio;1;0;0
IMV-0099;Maceio;Farol;kitnet;sem_mobilia;nao;18.0;1;1;0;11;0.0;2.4;231.54;752.2;1470.0;193.7502;0.0;-1.4470873456265718;baixo;0;1;0
IMV-0100;Maceio;Serraria;apartamento;sem_mobilia;nao;75.7;4;3;0;5;36.0;7.9;558.09;1484.12;2050.0;814.82723;0.222179437812861;-0.26544939852406946;medio;0;1;0
IMV-0101;Maceio;Ponta Verde;apartamento;sem_mobilia;nao;41.6;2;2;1;16;4.0;3.2;646.67;1797.59;3820.0;447.77824;0.09087408548324992;-0.9637830899659297;medio;0;1;0
IMV-0102;Maceio;Tabuleiro;studio;mobiliado;sim;41.9;1;1;1;17;7.0;9.6;427.4;1238.73;3170.0;451.00741;0.09202926453600307;-0.957639391800752;medio;1;0;0
IMV-0103;Maceio;Ponta Verde;apartamento;mobiliado;nao;67.6;2;2;2;11;36.0;4.1;503.2;2152.52;4460.0;727.6396399999999;0.19098960338852522;-0.4313292489838663;alto;1;0;0
IMV-0105;Maceio;Cruz das Almas;studio;semi_mobiliado;sim;29.3;1;1;1;10;8.0;7.4;372.82;1068.62;3160.0;315.38227;0.04351174432036966;-1.2156747147382136;medio;0;0;1
IMV-0106;Maceio;Cruz das Almas;apartamento;semi_mobiliado;sim;77.4;4;4;1;7;31.0;6.4;439.92;2183.76;4540.0;833.12586;0.22872545244512904;-0.23063510892139605;alto;0;0;1
IMV-0107;Maceio;Tabuleiro;apartamento;semi_mobiliado;sim;78.4;3;3;1;10;25.0;10.1;661.35;1457.51;3750.0;843.88976;0.2325760492876396;-0.21015611503747053;medio;0;0;1
IMV-0108;Maceio;Serraria;casa;sem_mobilia;sim;119.7;5;4;1;0;18.0;8.0;0.0;2104.45;4010.0;1288.43883;0.39160569888332697;0.6356263323686532;alto;0;1;0
IMV-0109;Maceio;Mangabeiras;casa;semi_mobiliado;sim;161.4;5;3;1;0;26.0;4.0;0.0;2000.94;6570.0;1737.29346;0.5521755872160186;1.4896003773283473;alto;0;0;1
IMV-0110;Maceio;Mangabeiras;casa;sem_mobilia;sim;89.3;4;3;1;0;6.0;4.5;180.0;2527.28;4840.0;961.2162699999999;0.274547554871005;0.013064918297317417;alto;0;1;0
IMV-0111;Maceio;Gruta;casa;sem_mobilia;nao;134.2;3;3;1;0;4.0;5.4;260.0;2845.43;4710.0;1444.5153799999998;0.44743935309973043;0.9325717436855729;alto;0;1;0
IMV-0112;Maceio;Serraria;studio;sem_mobilia;sim;35.2;1;1;1;7;22.0;9.4;356.57;811.93;2460.0;378.88928000000004;0.06623026569118215;-1.0948486508230528;medio;0;1;0
IMV-0113;Maceio;Gruta;apartamento;sem_mobilia;sim;59.1;3;3;1;12;13.0;8.2;624.83;1068.0;3040.0;636.14649;0.15825953022718522;-0.6054006969972331;medio;0;1;0
IMV-0114;Maceio;Jatiuca;casa;semi_mobiliado;sim;182.5;6;5;2;0;4.0;5.2;0.0;3885.23;8640.0;1964.41175;0.633423180592992;1.9217071482791757;alto;0;0;1
IMV-0115;Maceio;Farol;kitnet;sem_mobilia;sim;25.8;1;2;0;3;20.0;2.3;333.3;988.71;2010.0;277.70862;0.0300346553715826;-1.2873511933319528;medio;0;1;0
IMV-0116;Maceio;Tabuleiro;casa;sem_mobilia;sim;105.8;4;4;1;0;12.0;9.9;0.0;2041.46;3700.0;1138.82062;0.33808240277242974;0.35096831738208845;medio;0;1;0
IMV-0117;Maceio;Serraria;apartamento;semi_mobiliado;nao;97.9;3;3;1;9;7.0;8.3;690.57;1933.15;4910.0;1053.78581;0.3076626877165961;0.18918426569907704;alto;0;0;1
IMV-0118;Maceio;Ponta Verde;casa;sem_mobilia;sim;113.5;4;4;1;0;14.0;2.7;260.0;3221.25;6000.0;1221.70265;0.3677319984597613;0.508656570288315;alto;0;1;0
IMV-0119;Maceio;Ponta Verde;kitnet;sem_mobilia;nao;82.95;1;2;0;3;7.0;5.6;283.67;1151.24;3370.0;892.865505;0.2500962649210628;-0.1169766928656095;medio;0;1;0
IMV-0120;Maceio;Jatiuca;apartamento;mobiliado;nao;57.3;3;3;0;1;35.0;3.6;489.0;1872.95;5020.0;616.7714699999999;0.15132845591066615;-0.6422628859882991;alto;1;0;0
IMV-0121;Maceio;Serraria;kitnet;sem_mobilia;nao;30.9;1;1;0;11;28.0;7.5;238.44;417.11;650.0;332.60450999999995;0.0496726992683866;-1.1829083245239327;baixo;0;1;0
IMV-0122;Maceio;Gruta;casa;sem_mobilia;sim;152.6;5;4;2;0;40.0;4.8;180.0;2963.6;5340.0;1642.5711399999998;0.5182903350019253;1.3093852311498024;alto;0;1;0
IMV-0123;Maceio;Tabuleiro;studio;sem_mobilia;nao;29.0;1;1;1;15;20.0;8.6;336.95;1039.81;900.0;312.1531;0.04235656526761648;-1.221818412903391;baixo;0;1;0
IMV-0124;Maceio;Farol;apartamento;sem_mobilia;sim;49.9;1;1;0;2;21.0;2.7;400.33;1094.63;1910.0;537.11861;0.1228340392760878;-0.7938074407293478;baixo;0;1;0
IMV-0125;Maceio;Ponta Verde;casa;sem_mobilia;nao;142.7;5;4;1;0;3.0;3.7;0.0;3513.46;6650.0;1536.0085299999998;0.48016942626107045;1.1066431916989399;alto;0;1;0
IMV-0126;Maceio;Serraria;casa;sem_mobilia;sim;150.8;6;4;2;0;14.0;9.5;0.0;2912.08;5410.0;1623.19612;0.5113592606854063;1.272523042158737;alto;0;1;0
IMV-0127;Maceio;Gruta;apartamento;sem_mobilia;nao;63.8;3;3;0;16;1.0;5.1;427.4;2029.66;3600.0;686.73682;0.17635733538698498;-0.5091494257427832;medio;0;1;0
IMV-0128;Maceio;Tabuleiro;casa;sem_mobilia;sim;145.4;5;4;1;0;29.0;8.5;260.0;2885.89;4630.0;1565.07106;0.4905660377358491;1.161936475185539;alto;0;1;0
IMV-0129;Maceio;Farol;apartamento;semi_mobiliado;sim;102.2;4;4;1;17;11.0;1.9;623.19;1949.89;5460.0;1100.07058;0.32422025413939165;0.2772439393999567;alto;0;0;1
IMV-0130;Maceio;Cruz das Almas;casa;sem_mobilia;sim;95.9;5;4;1;0;16.0;7.9;260.0;2255.74;5040.0;1032.25801;0.2999614940315749;0.148226277931226;alto;0;1;0
IMV-0131;Maceio;Mangabeiras;apartamento;sem_mobilia;sim;94.1;4;3;1;9;38.0;6.5;673.59;2190.48;3990.0;1012.88299;0.29303041971505583;0.11136408894015984;medio;0;1;0
IMV-0132;Maceio;Serraria;apartamento;mobiliado;sim;56.2;4;3;2;1;39.0;8.7;413.92;1345.05;3850.0;604.93118;0.14709279938390452;-0.664789779260617;medio;1;0;0
IMV-0133;Maceio;Cruz das Almas;apartamento;sem_mobilia;nao;83.6;2;2;2;9;31.0;8.5;507.94;2167.94;4590.0;899.8620399999999;0.2525991528686946;-0.10366534684105808;alto;0;1;0
IMV-0134;Maceio;Jatiuca;apartamento;mobiliado;nao;72.3;3;2;2;1;27.0;3.8;545.18;2190.72;5110.0;778.22997;0.209087408548325;-0.33507797772941633;alto;1;0;0
IMV-0135;Maceio;Gruta;apartamento;sem_mobilia;sim;83.9;3;3;0;6;32.0;4.5;715.4;1664.74;2950.0;903.09121;0.25375433192144786;-0.0975216486758802;medio;0;1;0
IMV-0136;Maceio;Gruta;apartamento;mobiliado;nao;108.9;4;3;1;16;31.0;5.3;780.59;2440.32;4660.0;1172.1887100000001;0.3500192529842126;0.4144531984222577;alto;1;0;0
IMV-0137;Maceio;Ponta Verde;apartamento;sem_mobilia;sim;53.2;2;2;1;8;12.0;2.8;508.57;1481.52;4230.0;572.63948;0.13554100885637274;-0.7262267609123936;alto;0;1;0
IMV-0138;Maceio;Gruta;apartamento;mobiliado;nao;40.7;1;1;1;12;11.0;6.7;523.39;1128.18;3430.0;438.09073;0.08740854832499038;-0.9822141844614626;medio;1;0;0
